"(1108, 2423)",1
"(2554, 1454)",1
"(1193, 2209)",1
"(1047, 799)",1
"(1835, 1416)",1
"(2848, 2136)",186
"(1410, 1804)",1
"(1310, 1113)",1
"(1901, 1397)",1
"(1802, 2210)",1
"(1215, 1373)",1
"(1209, 1662)",1
"(1779, 1456)",1
"(2406, 1372)",1
"(2168, 1339)",1
"(1160, 2186)",1
"(1463, 949)",1
"(1844, 1254)",1
"(1410, 1282)",1
"(2370, 1272)",1
"(1423, 2640)",1
"(1728, 1110)",1
"(1534, 2368)",1
"(2016, 1487)",1
"(1596, 867)",1
"(1231, 1288)",1
"(560, 793)",1
"(1982, 1325)",1
"(1144, 2409)",1
"(1679, 1142)",1
"(1598, 2159)",1
"(1520, 1855)",1
"(1498, 2238)",1
"(1608, 1777)",1
"(1944, 2592)",3
"(1892, 1492)",1
"(1439, 1673)",1
"(1122, 1407)",1
"(753, 1588)",1
"(1900, 2456)",1
"(1891, 1296)",1
"(1461, 1553)",1
"(1647, 1620)",1
"(1115, 1839)",1
"(1952, 1349)",1
"(1760, 1628)",1
"(1920, 1525)",1
"(827, 1162)",1
"(1503, 2105)",1
"(1625, 963)",1
"(996, 2568)",1
"(1262, 670)",1
"(1789, 1929)",1
"(2819, 1779)",1
"(1788, 1735)",1
"(2112, 2816)",54
"(1377, 1868)",1
"(1568, 1037)",1
"(1060, 1485)",1
"(826, 968)",1
"(928, 2763)",1
"(1584, 1568)",1
"(943, 1000)",1
"(2091, 2329)",1
"(2082, 1786)",1
"(1210, 1519)",1
"(1430, 1497)",1
"(1968, 1701)",1
"(1896, 1111)",1
"(1759, 2446)",1
"(1229, 1711)",1
"(1396, 2004)",1
"(972, 2374)",1
"(1228, 1842)",1
"(2558, 1521)",1
"(1248, 2603)",1
"(1356, 1284)",1
"(1571, 1382)",1
"(2068, 1487)",1
"(2136, 2848)",640
"(784, 1971)",1
"(1373, 1436)",1
"(1447, 1461)",1
"(1402, 2004)",1
"(1458, 1497)",1
"(1209, 1745)",1
"(720, 1026)",1
"(1591, 2306)",1
"(1701, 1082)",1
"(1531, 2078)",1
"(2049, 1703)",1
"(937, 1107)",1
"(2458, 1615)",1
"(2283, 1450)",1
"(1085, 2012)",1
"(1436, 1937)",1
"(2335, 1587)",1
"(1525, 1239)",1
"(1739, 1596)",1
"(1001, 1354)",1
"(1558, 1444)",1
"(2518, 1588)",1
"(1791, 806)",1
"(2816, 2112)",7
"(2344, 1568)",1
"(841, 989)",1
"(1239, 1921)",1
"(2172, 1068)",1
"(1204, 1604)",1
"(1544, 1925)",1
"(1944, 1620)",1
"(1555, 1287)",1
"(1582, 1871)",1
"(1566, 2437)",1
"(1270, 1748)",1
"(2649, 1874)",1
"(2444, 1325)",1
"(1732, 1060)",1
"(2011, 1491)",1
"(1089, 2024)",1
"(1989, 1231)",1
"(2420, 1679)",1
"(1558, 2558)",1
"(2244, 1501)",1
"(1413, 1961)",1
"(908, 2260)",1
"(1739, 939)",1
"(1155, 2122)",1
"(1782, 1454)",1
"(1546, 2465)",1
"(1425, 1358)",1
"(540, 2040)",1
