"(183, 275)",1
"(3395, 3628)",1
"(5184, 3150)",1
"(5184, 1587)",1
"(3888, 1859)",1
"(429, 2000)",1
"(2000, 1500)",2
"(3888, 2902)",1
"(4660, 1959)",1
"(2960, 5184)",2
"(5184, 1360)",1
"(5141, 2858)",1
"(5184, 3007)",2
"(5184, 3519)",1
"(1233, 3536)",1
"(2797, 5184)",1
"(4058, 3858)",1
"(3888, 3078)",1
"(3888, 2635)",1
"(2644, 2764)",1
"(5184, 1562)",1
"(5184, 1743)",1
"(1676, 4032)",1
"(5184, 1716)",1
"(5184, 1624)",1
"(3796, 2465)",1
"(3841, 2801)",1
"(3888, 1564)",1
"(5036, 1362)",1
"(4643, 2866)",1
"(3888, 3387)",1
"(3888, 2522)",1
"(3888, 1647)",1
"(3888, 2740)",1
"(3140, 2776)",2
"(5184, 3012)",1
"(3888, 2387)",1
"(5184, 3304)",1
"(3888, 4141)",1
"(1933, 5184)",1
"(3277, 2454)",1
"(3092, 1655)",1
"(5184, 1691)",1
"(2261, 5184)",1
"(5184, 2068)",2
"(4892, 1271)",1
"(3888, 2563)",2
"(5184, 2567)",1
"(3024, 4032)",1
"(5184, 1605)",2
"(3888, 3381)",1
"(3888, 1423)",1
"(1980, 5184)",2
"(2154, 1210)",2
"(5184, 3141)",1
"(5184, 3459)",1
"(5184, 2120)",1
"(5184, 3656)",1
"(5184, 1879)",1
"(5184, 1820)",1
"(5184, 3009)",1
"(3888, 1803)",1
"(2528, 5184)",1
"(3888, 3557)",1
"(5184, 2197)",1
"(3127, 1521)",1
"(723, 2000)",1
"(3888, 2761)",1
"(5184, 2489)",1
"(3240, 5184)",1
"(3888, 2268)",4
"(5184, 1631)",2
"(4328, 3868)",1
"(3888, 4537)",1
"(1917, 4185)",2
"(2740, 3247)",1
"(5184, 1602)",3
"(3888, 2444)",1
"(5184, 1459)",1
"(2120, 5184)",1
"(5184, 2093)",1
"(5184, 2995)",1
"(5184, 1863)",1
"(5184, 2155)",2
"(5184, 1157)",1
"(3888, 2106)",1
"(1720, 2007)",2
"(3888, 3289)",1
"(3515, 2146)",1
"(5184, 2184)",2
"(2779, 4343)",2
"(5184, 1888)",2
"(5184, 1493)",1
"(5184, 1434)",1
"(3863, 3818)",1
"(5184, 3124)",1
"(5184, 3321)",2
"(5184, 1785)",1
"(3888, 2972)",1
"(3627, 5184)",1
"(1425, 4556)",1
"(5184, 1348)",1
